Month,CPGI,CPGI_YOY,CPGI_Comparative,Agricultural_Products_Index,API_YOY,API_Comparative,Mineral_Products_Index,MPI_YOY,MPI_Comparative,Kerosene_Power_Index,KPI_YOY,KPI_Comparative
2013年05月份,97.7,-1.21%,-0.20%,102.4,1.59%,-1.06%,96.5,-0.62%,0.10%,94.2,-8.45%,-0.84%
2013年04月份,97.9,-2.00%,-0.41%,103.5,2.17%,1.91%,96.4,-1.43%,-1.58%,95,-9.87%,-2.39%
2013年03月份,98.3,-1.99%,-0.61%,101.56,0.26%,-3.37%,97.95,-0.36%,-0.15%,97.33,-8.52%,-0.78%
2013年02月份,98.9,-1.69%,0.00%,105.1,4.06%,2.04%,98.1,-0.91%,0.31%,98.1,-7.89%,-0.20%
2013年01月份,98.9,-2.37%,0.51%,103,-0.48%,1.08%,97.8,-2.00%,1.03%,98.3,-8.13%,0.31%
2012年12月份,98.4,-3.79%,0.42%,101.9,-2.68%,2.23%,96.8,-3.91%,1.82%,98,-10.05%,-1.46%
2012年11月份,97.99,-5.05%,0.71%,99.68,-4.43%,3.40%,95.07,-9.11%,2.23%,99.45,-8.34%,-0.15%
2012年10月份,97.3,-8.09%,1.14%,96.4,-13.13%,-0.52%,93,-15.62%,2.88%,99.6,-9.72%,1.12%
2012年09月份,96.2,-11.25%,0.10%,96.9,-15.37%,-1.36%,90.4,-21.12%,-1.72%,98.5,-11.82%,1.36%
2012年08月份,96.1,-11.75%,-0.20%,98.24,-13.45%,2.87%,91.98,-19.88%,-2.46%,97.18,-13.16%,-0.43%
2012年07月份,96.3,-12.22%,-1.23%,95.5,-18.24%,-1.44%,94.3,-16.84%,-0.95%,97.6,-12.70%,-2.69%
2012年06月份,97.5,-10.96%,-1.42%,96.9,-17.74%,-3.87%,95.2,-15.45%,-1.96%,100.3,-9.56%,-2.53%
2012年05月份,98.9,-9.10%,-1.00%,100.8,-12.50%,-0.49%,97.1,-12.40%,-0.72%,102.9,-6.14%,-2.37%
2012年04月份,99.9,-7.93%,-0.40%,101.3,-13.27%,0.00%,97.8,-12.91%,-0.51%,105.4,-3.39%,-0.94%
2012年03月份,100.3,-8.23%,-0.30%,101.3,-15.72%,0.30%,98.3,-14.15%,-0.71%,106.4,-1.75%,-0.09%
